Date,Volume,vw,Open,Close,High,Low,n,Symbol,Return,Cumulative Return,10-Day MA,100-Day MA
2023-02-17,34273368.0,94.0959,94.85,94.35,95.5599,93.21,321654,GOOGL,-0.012145325096848625,0.058684919210054254,99.372,
2023-02-21,33629256.0,92.1747,93.0,91.79,93.1,91.72,333166,GOOGL,-0.027133015368309366,0.029959605026930403,97.777,
2023-02-22,30884017.0,91.6217,91.7,91.65,92.11,90.61,279858,GOOGL,-0.0015252206122671197,0.028388689407540912,96.46400000000001,
2023-02-23,41206380.0,90.7235,91.92,90.89,91.94,89.76,401387,GOOGL,-0.008292416803055147,0.01986086175942603,95.263,
2023-02-24,36565893.0,89.0788,89.44,89.13,89.89,88.575,387354,GOOGL,-0.019364066453955386,0.0001122082585283124,93.412,
2023-02-27,27502302.0,89.7756,89.87,89.87,90.16,89.335,266805,GOOGL,0.00830247952429053,0.00841561938958768,92.94200000000001,
2023-02-28,30142039.0,90.3316,89.33,90.06,91.23,89.32,274402,GOOGL,0.0021141649048626032,0.010547576301616512,92.487,
2023-03-01,31028225.0,90.3273,89.98,90.36,91.03,89.67,286688,GOOGL,0.0033311125916055673,0.01391382405745123,92.055,
2023-03-02,32143229.0,91.0062,89.66,92.0,92.275,89.59,296251,GOOGL,0.01814962372731288,0.03231597845601497,91.561,
2023-03-03,35160105.0,93.3614,92.48,93.65,93.73,92.45,345728,GOOGL,0.017934782608695743,0.05083034111310658,91.375,
2023-03-06,32639313.0,95.178,94.015,95.13,95.97,94.0,334565,GOOGL,0.015803523758675775,0.06743716337522487,91.453,
2023-03-07,27835476.0,94.2937,94.98,93.86,95.67,93.53,304382,GOOGL,-0.013350152423000083,0.053186714542190705,91.66,
2023-03-08,34103265.0,94.7642,94.12,94.25,95.955,94.0,328384,GOOGL,0.0041551246537396835,0.057562836624776015,91.92,
2023-03-09,28813532.0,93.6378,94.05,92.32,95.53,91.9,315318,GOOGL,-0.020477453580901916,0.0359066427289052,92.063,
2023-03-10,35941046.0,91.3306,92.17,90.63,92.79,90.395,382178,GOOGL,-0.01830589254766024,0.01694344703770234,92.213,
2023-03-13,37335573.0,91.4871,90.09,91.11,92.57,89.42,406887,GOOGL,0.005296259516716306,0.022329443447038022,92.33699999999999,
2023-03-14,35971014.0,93.5868,92.56,93.97,94.36,92.44,346286,GOOGL,0.03139062671495996,0.05442100538599681,92.728,
2023-03-15,50622050.0,95.3094,93.22,96.11,96.93,92.64,479953,GOOGL,0.022773225497499272,0.07843357271095197,93.303,
2023-03-16,63907656.0,99.5885,96.2,100.32,101.19,95.5,651145,GOOGL,0.043803974612423247,0.12567324955116743,94.135,
2023-03-17,60510907.0,101.4094,100.26,101.62,102.835,100.1,499883,GOOGL,0.012958532695374947,0.1402603231597852,94.932,
2023-03-20,32960440.0,100.971,100.12,101.22,101.75,99.87,356271,GOOGL,-0.003936233024995128,0.13577199281867203,95.541,
2023-03-21,41891479.0,103.8525,101.25,104.92,105.1,101.22,417682,GOOGL,0.03655404070341839,0.17728904847396842,96.647,
2023-03-22,43427419.0,104.9423,104.27,103.37,106.59,103.33,475121,GOOGL,-0.014773160503240512,0.15989676840215528,97.559,
2023-03-23,40797769.0,105.606,105.06,105.6,106.3,104.46,428989,GOOGL,0.021572990229273392,0.1849192100538608,98.88699999999999,
2023-03-24,30411043.0,104.9376,104.99,105.44,105.49,103.84,318007,GOOGL,-0.0015151515151514694,0.18312387791741558,100.368,
2023-03-27,31120864.0,103.1087,104.615,102.46,104.76,101.9273,338738,GOOGL,-0.028262518968133588,0.1496858168761228,101.503,
2023-03-28,32057865.0,100.6156,102.44,101.03,102.45,99.74,315231,GOOGL,-0.013956666016006203,0.13364003590664342,102.209,
2023-03-29,28779572.0,101.414,102.28,101.39,102.49,100.65,303380,GOOGL,0.003563298030287987,0.13767953321364512,102.737,
2023-03-30,33086183.0,100.5814,100.91,100.89,101.155,99.78,307213,GOOGL,-0.004931452805996606,0.1320691202872537,102.79400000000001,
2023-03-31,36863369.0,102.9819,101.3,103.73,103.89,101.04,319740,GOOGL,0.02814946971949661,0.16393626570915698,103.005,
2023-04-03,25035399.0,103.5452,102.39,104.36,104.53,101.93,276477,GOOGL,0.00607345994408548,0.17100538599641002,103.319,
2023-04-04,24420079.0,104.7764,104.33,104.72,105.58,104.04,264482,GOOGL,0.003449597546952843,0.17504488330341172,103.299,
2023-04-05,28290503.0,104.4706,105.78,104.47,106.1,103.66,304591,GOOGL,-0.0023873185637891536,0.17223967684021613,103.40899999999999,
2023-04-06,48711480.0,107.3402,105.26,108.42,109.17,104.33,438103,GOOGL,0.03780989757825215,0.21656193895870812,103.691,
2023-04-10,27067355.0,106.2515,106.98,106.44,107.59,105.12,284367,GOOGL,-0.018262313226342086,0.1943447037701982,103.79100000000001,
2023-04-11,26311803.0,105.5012,106.55,105.35,106.73,104.68,283285,GOOGL,-0.010240511086057946,0.18211400359066499,104.08,
2023-04-12,24370274.0,105.1308,106.58,104.64,106.75,104.34,278816,GOOGL,-0.006739439962031302,0.17414721723518922,104.441,
2023-04-13,24843579.0,106.9537,105.84,107.43,107.49,105.84,259081,GOOGL,0.026662844036697386,0.20545332136445338,105.045,
2023-04-14,26578002.0,108.1096,106.89,108.87,108.94,106.84,275240,GOOGL,0.013404077073443155,0.22161131059246064,105.843,
2023-04-17,37571218.0,105.3818,104.658,105.97,106.16,104.52,412779,GOOGL,-0.02663727381280434,0.1890709156193906,106.06700000000001,
