Date,Volume,vw,Open,Close,High,Low,n,Symbol,Return,Cumulative Return,10-Day MA,100-Day MA
2023-02-01,101459155.0,407.863,405.211,410.8,413.67,402.35,833210,SPY,0.010627829167486613,0.07872485688776876,401.4,
2023-02-02,101192713.0,415.5223,414.86,416.78,418.31,412.88,724694,SPY,0.014556962025316311,0.09442781366524877,404.214,
2023-02-03,94577181.0,413.7699,411.59,412.35,416.97,411.09,665739,SPY,-0.010629108882383886,0.08279502126989158,405.861,
2023-02-06,60250025.0,409.9916,409.79,409.83,411.29,408.1,461542,SPY,-0.006111313204801849,0.07617772175831128,406.781,
2023-02-07,90721745.0,411.9917,408.87,415.19,416.49,407.57,695517,SPY,0.013078593563184748,0.09025261278294239,408.28000000000003,
2023-02-08,76227462.0,411.9252,413.13,410.65,414.53,409.93,529228,SPY,-0.010934752763794964,0.07833097001207934,409.31,
2023-02-09,78564109.0,409.7962,414.41,407.09,414.57,405.81,566607,SPY,-0.008669183002556924,0.06898272149571993,409.544,
2023-02-10,70767615.0,407.0089,405.86,408.04,408.44,405.01,489777,SPY,0.002333636296642183,0.07147733837508574,409.78000000000003,
2023-02-13,64903039.0,411.3867,408.72,412.83,412.97,408.24,426598,SPY,0.011739045191647701,0.08405545927209723,411.004,
2023-02-14,87681813.0,412.1239,411.24,412.64,415.05,408.511,627801,SPY,-0.0004602378703097987,0.08355653589622403,411.62,
2023-02-15,61368279.0,412.2614,410.35,413.98,414.06,409.47,427499,SPY,0.003247382706475399,0.08707525865238175,411.938,
2023-02-16,76418169.0,410.3213,408.79,408.28,412.91,408.14,583412,SPY,-0.013768781100536365,0.07210755737618824,411.088,
2023-02-17,89196815.0,406.1332,406.06,407.26,407.51,404.05,562615,SPY,-0.0024982854903496943,0.06942912662150102,410.579,
2023-02-21,82585674.0,401.1432,403.06,399.09,404.16,398.82,559126,SPY,-0.020060894760104198,0.047975421458956946,409.505,
2023-02-22,83500793.0,398.9103,399.52,398.54,401.13,397.02,568095,SPY,-0.0013781352577111328,0.046531169581429666,407.84000000000003,
2023-02-23,96195399.0,399.6202,401.56,400.66,402.2,396.25,740995,SPY,0.005319415867917954,0.05209810409117188,406.841,
2023-02-24,108122913.0,395.8063,395.42,396.38,397.25,393.64,755245,SPY,-0.010682374082763513,0.04085919857150366,405.77000000000004,
2023-02-27,80251136.0,398.6304,399.87,397.73,401.29,396.75,592300,SPY,0.003405822695393468,0.04440418045270755,404.739,
2023-02-28,96350567.0,397.4209,397.23,396.26,399.28,396.15,600687,SPY,-0.0036959746561738838,0.040544089070952305,403.082,
2023-03-01,99552823.0,395.137,395.41,394.74,396.69,393.38,699145,SPY,-0.0038358653409377164,0.036552702063967324,401.29200000000003,
2023-03-02,85372726.0,395.4271,392.68,397.81,398.69,392.33,612511,SPY,0.0077772711151644636,0.044614253453075126,399.675,
2023-03-03,90119952.0,402.0592,399.71,404.19,404.45,399.03,645491,SPY,0.016037806993288273,0.061367575232393445,399.266,
2023-03-06,72758446.0,405.4288,405.05,404.47,407.45,404.01,539396,SPY,0.0006927435117147773,0.06210283073368017,398.98699999999997,
2023-03-07,108161096.0,400.3811,404.42,398.27,404.67,397.625,776309,SPY,-0.015328701757856056,0.04582217320518889,398.905,
2023-03-08,74446632.0,398.2586,398.39,398.92,399.71,396.59,578076,SPY,0.0016320586536773263,0.04752901633317608,398.943,
2023-03-09,111830522.0,395.4294,399.74,391.56,401.48,390.53,849090,SPY,-0.018449814499147732,0.028202300299354333,398.033,
2023-03-16,143667640.0,392.991,386.82,396.11,396.47,386.29,999798,SPY,0.011620185922974757,0.04015020219526311,398.006,
2023-03-17,140350911.0,391.2188,393.22,389.99,394.4,388.55,923761,SPY,-0.015450253717401718,0.02407961766713962,397.23199999999997,
2023-03-20,93055783.0,392.3553,390.8,393.74,394.17,390.07,725425,SPY,0.009615631170029948,0.03392678955937223,396.98,
2023-03-21,91439734.0,397.0975,397.24,398.91,399.41,395.58,629615,SPY,0.013130492202976685,0.04750275720813035,397.397,
2023-03-22,111699083.0,397.6029,398.73,392.11,402.49,392.07,874188,SPY,-0.017046451580557065,0.029646552176881835,396.827,
2023-03-23,119243819.0,394.5752,395.09,393.17,399.29,390.35,871933,SPY,0.002703323047104078,0.03243001943175283,395.725,
2023-03-24,107397124.0,393.1119,391.841,395.75,395.84,389.4,808446,SPY,0.006562046951700262,0.03920487369360881,394.853,
2023-03-27,74010408.0,396.9373,398.12,396.49,398.92,395.56,569544,SPY,0.0018698673404926591,0.0411480489470093,394.675,
2023-03-28,62871680.0,395.2598,395.77,395.6,396.49,393.69,494862,SPY,-0.0022446972180887315,0.03881098681791939,394.343,
2023-03-29,77497876.0,399.8739,399.925,401.35,401.6,398.68,553838,SPY,0.014534883720930258,0.053909983719342636,395.322,
2023-03-30,69726849.0,403.226,404.09,403.7,404.35,401.76,516342,SPY,0.005855238569826726,0.06008087810514162,396.081,
2023-03-31,112024624.0,407.2633,404.66,409.39,409.7,404.55,696693,SPY,0.014094624721327609,0.07502232025628897,398.021,
2023-04-03,67331097.0,410.0407,408.85,410.95,411.37,408.44,569790,SPY,0.003810547399790032,0.07911874376345773,399.742,
2023-04-04,66526534.0,409.1942,411.62,408.67,411.92,407.24,537049,SPY,-0.00554812020927109,0.07313166325298037,400.718,
2023-04-05,64855243.0,407.3288,407.91,407.6,408.7,405.88,524247,SPY,-0.002618249443316123,0.07032193687306343,402.267,
2023-04-06,63743345.0,408.1019,406.77,409.19,409.48,405.678,482110,SPY,0.003900883218841855,0.07449713775536981,403.869,
2023-04-10,63681042.0,408.081,406.61,409.61,409.69,405.97,468057,SPY,0.0010264180454067073,0.07560002100729979,405.255,
2023-04-11,59297945.0,410.0187,410.26,409.72,411.18,408.92,402951,SPY,0.00026854813114907117,0.0758888713828052,406.57800000000003,
2023-04-12,86413179.0,409.7065,411.87,408.05,412.17,407.44,639355,SPY,-0.004075954310260754,0.0715035975001308,407.823,
2023-04-13,85785954.0,411.7177,409.18,413.47,413.84,407.9922,566794,SPY,0.01328268594534987,0.08573604327503759,409.03499999999997,
2023-04-14,78155845.0,412.2601,412.81,412.46,415.09,410.06,592878,SPY,-0.002442740706701918,0.0830838716453961,409.91100000000006,
