Date,Volume,vw,Open,Close,High,Low,n,Symbol,Return,Cumulative Return,10-Day MA,100-Day MA
2023-02-06,69771906.0,152.0939,152.575,151.73,153.1,150.78,583517,AAPL,0.04331981021797415,0.21316063004717356,143.77100000000002,
2023-02-07,83322551.0,153.4202,150.64,154.65,155.23,150.64,661767,AAPL,0.019244710999802406,0.2365075557687697,145.449,
2023-02-08,63620079.0,152.3636,153.88,151.92,154.58,151.168,524140,AAPL,-0.017652764306498647,0.21467977932357885,146.53,
2023-02-09,55994243.0,152.2769,153.775,150.87,154.33,150.42,471973,AAPL,-0.006911532385465935,0.2062844806908133,147.364,
2023-02-10,57388108.0,150.4054,149.46,151.01,151.3401,149.22,443405,AAPL,0.0009279512162787551,0.20740385384184856,148.279,
2023-02-13,62199013.0,153.231,150.952,153.85,154.26,150.92,506668,AAPL,0.018806701542944282,0.23011113776285286,149.26799999999997,
2023-02-14,61664023.0,152.5956,152.12,153.2,153.77,150.86,528566,AAPL,-0.00422489437764062,0.22491404813304539,149.995,
2023-02-15,65665252.0,154.4536,153.11,155.33,155.5,152.88,520574,AAPL,0.013903394255874835,0.24194451107379877,151.228,
2023-02-16,68167942.0,154.7143,153.51,153.71,156.33,153.3475,516187,AAPL,-0.010429408356402492,0.22899176461181758,152.17,
2023-02-17,59105618.0,152.0451,152.35,152.55,153.0,150.85,468580,AAPL,-0.0075466788107474425,0.21971695850323858,152.882,
2023-02-21,58217230.0,149.3501,150.2,148.48,151.3,148.405,509342,AAPL,-0.02667977712225511,0.1871751818981373,152.557,
2023-02-22,51008155.0,148.5494,148.87,148.91,149.95,147.16,429775,AAPL,0.002896012931034475,0.19061325657631745,151.983,
2023-02-23,48392049.0,148.8407,150.09,149.4,150.34,147.24,425159,AAPL,0.003290578201598393,0.19453106260494146,151.73100000000002,
2023-02-24,55469606.0,146.3861,147.11,146.71,147.19,145.7202,472221,AAPL,-0.01800535475234266,0.17302310706004675,151.315,
2023-02-27,44998470.0,148.1344,147.71,147.92,149.17,147.45,418069,AAPL,0.008247563219957676,0.18269768929399577,151.006,
2023-02-28,50546998.0,147.7996,147.05,147.41,149.08,146.83,383779,AAPL,-0.0034478096268252267,0.17861997281522402,150.36200000000002,
2023-03-01,55478991.0,145.868,146.83,145.31,147.2285,145.01,461613,AAPL,-0.014245980598331154,0.16182937554969268,149.573,
2023-03-02,52279761.0,145.1652,144.38,145.91,146.71,143.9,413238,AAPL,0.004129103296400816,0.16662668905413014,148.63100000000003,
2023-03-03,70725339.0,150.0304,148.045,151.03,151.11,147.33,558706,AAPL,0.0350901240490713,0.20756376429199697,148.363,
2023-03-06,87558028.0,154.6895,153.785,153.83,156.3,153.46,691990,AAPL,0.01853936304045556,0.22995122731270534,148.49099999999999,
2023-03-07,56136378.0,152.2768,153.7,151.6,154.0299,151.13,496631,AAPL,-0.014496522134824219,0.2121212121212126,148.80300000000003,
2023-03-08,47204791.0,152.6973,152.81,152.87,153.47,151.83,405203,AAPL,0.008377308707124165,0.2222755257056055,149.199,
2023-03-09,53833122.0,152.4689,153.559,150.59,154.535,150.225,480909,AAPL,-0.014914633348596884,0.20404573438874296,149.31799999999998,
2023-03-10,68559600.0,149.0716,150.21,148.5,150.94,147.6096,611457,AAPL,-0.01387874360847341,0.1873350923482855,149.49699999999999,
2023-03-13,84457122.0,151.1835,147.805,150.47,153.14,147.7,760660,AAPL,0.013265993265993314,0.20308627168785542,149.752,
2023-03-14,72045893.0,152.1061,151.28,152.59,153.4,150.1,565196,AAPL,0.014089187213398136,0.22003677940353472,150.27,
2023-03-15,77167866.0,151.7861,151.19,152.99,153.245,149.92,703116,AAPL,0.0026214037617144914,0.22323498840649325,151.038,
2023-03-16,76206919.0,154.813,152.16,155.85,156.46,151.64,676097,AAPL,0.01869403228969202,0.24610218277764528,152.03199999999998,
2023-03-17,98944633.0,155.3402,156.08,155.0,156.74,154.28,615778,AAPL,-0.005453962143086244,0.23930598864635888,152.429,
2023-03-20,72711415.0,156.6059,155.07,157.4,157.82,154.15,628984,AAPL,0.015483870967742064,0.25849524266410917,152.786,
2023-03-21,73938285.0,158.3406,157.32,159.28,159.4,156.54,590982,AAPL,0.011944091486658204,0.2735268249780134,153.55400000000003,
2023-03-22,75349311.0,159.6832,159.3,157.83,162.14,157.81,656865,AAPL,-0.009103465595178273,0.26193331734228953,154.05,
2023-03-23,67482060.0,159.5685,158.83,158.93,161.5501,157.68,614268,AAPL,0.006969524171577035,0.2707283921004251,154.88400000000001,
2023-03-24,59006343.0,159.2417,158.86,160.25,160.34,157.85,517531,AAPL,0.008305543320958897,0.28128248181018756,156.05900000000003,
2023-03-27,52390266.0,159.0188,159.94,158.28,160.77,157.87,518436,AAPL,-0.012293291731669265,0.2655313024706176,156.84,
2023-03-28,45992152.0,156.9785,157.97,157.65,158.49,155.98,432447,AAPL,-0.003980288097043205,0.26049412329095833,157.346,
2023-03-29,51305691.0,160.216,159.37,160.77,161.05,159.35,472077,AAPL,0.019790675547098013,0.2854401535140334,158.124,
2023-03-30,49210289.0,162.0209,161.53,162.36,162.47,161.271,456152,AAPL,0.009889904832991236,0.29815303430079276,158.775,
2023-03-31,68749792.0,164.0421,162.44,164.9,165.0,161.91,574409,AAPL,0.015644247351564333,0.3184616614695781,159.76500000000001,
2023-04-03,56976187.0,165.3487,164.27,166.17,166.29,164.22,568686,AAPL,0.00770163735597329,0.3286159750539708,160.642,
2023-04-04,46278295.0,165.9131,166.595,165.63,166.84,165.11,456306,AAPL,-0.00324968405849424,0.3242983928999772,161.277,
2023-04-05,51511744.0,163.4912,164.74,163.76,165.05,161.8,533621,AAPL,-0.011290225200748738,0.30934676581114684,161.87,
2023-04-06,45390123.0,164.0257,162.43,164.66,164.9584,162.0,446212,AAPL,0.005495847581827196,0.31654273606780325,162.443,
2023-04-10,47670382.0,161.2628,161.42,162.03,162.03,160.08,563913,AAPL,-0.015972306571116257,0.2955145118733522,162.621,
2023-04-11,47494217.0,161.1314,162.35,160.8,162.36,160.51,490479,AAPL,-0.007591186817256013,0.28568001918925545,162.873,
2023-04-12,50133062.0,160.8845,161.22,160.1,162.06,159.78,514261,AAPL,-0.0043532338308458485,0.2800831534340782,163.118,
2023-04-13,68418649.0,164.3531,161.63,165.56,165.8,161.42,595709,AAPL,0.034103685196752,0.32373870632445967,163.597,
2023-04-14,49314480.0,165.0394,164.59,165.21,166.32,163.82,489551,AAPL,-0.0021140372070548308,0.32094027344687115,163.882,
2023-04-17,41516217.0,164.8044,165.09,165.23,165.39,164.03,483388,AAPL,0.00012105804733364423,0.3211001838970189,163.915,
2023-04-18,49915508.0,166.3535,166.1,166.47,167.41,165.65,494642,AAPL,0.007504690431519689,0.33101463180618973,163.945,
2023-04-19,47621166.0,167.2806,165.8,167.63,168.16,165.54,473866,AAPL,0.006968222502552912,0.34028943791476873,164.145,
2023-04-20,52456377.0,166.779,166.09,166.65,167.87,165.56,493153,AAPL,-0.005846208912485773,0.3324538258575209,164.434,
2023-04-21,57736141.0,165.0754,165.05,165.02,166.4521,164.49,520279,AAPL,-0.009780978097809756,0.31942112417046564,164.46999999999997,
2023-04-24,41449581.0,164.9397,165.0,165.33,165.6,163.89,459499,AAPL,0.0018785601745243685,0.32189973614775846,164.8,
2023-04-25,48652863.0,164.6479,165.19,163.77,166.305,163.73,501548,AAPL,-0.009435674106332836,0.30942672103622093,165.097,
2023-04-26,45487296.0,163.9084,163.055,163.76,165.28,162.8,493403,AAPL,-6.106124442828431e-05,0.30934676581114684,165.46300000000002,
2023-04-27,64898729.0,167.3197,165.19,168.41,168.56,165.19,575981,AAPL,0.028395212506106438,0.3465259454705376,165.748,
2023-04-28,55275851.0,168.9479,168.49,169.68,169.85,167.8801,527763,AAPL,0.007541119885992487,0.3566802590549303,166.195,
2023-05-01,52424936.0,169.6586,169.28,169.59,170.45,168.64,540745,AAPL,-0.0005304101838755626,0.3559606620292646,166.63100000000003,
2023-05-02,48425696.0,168.6978,170.09,168.54,170.35,167.54,509755,AAPL,-0.0061914027949762085,0.3475653633964988,166.83800000000002,
2023-05-03,65126998.0,169.013,169.5,167.45,170.92,167.16,610052,AAPL,-0.006467307464103511,0.3388502438634373,166.82,
2023-05-04,81225673.0,166.0983,164.89,165.79,167.04,164.31,832121,AAPL,-0.009913406987160367,0.3255776765011602,166.734,
2023-05-08,55962634.0,173.321,172.48,173.5,173.85,172.11,563138,AAPL,0.04650461427106589,0.3872231550331824,167.58200000000002,
2023-05-09,45326874.0,172.3162,173.05,171.77,173.54,171.6,456209,AAPL,-0.009971181556195918,0.37339090109538753,168.226,
2023-05-10,53724501.0,173.1737,173.02,173.555,174.03,171.9,511486,AAPL,0.010391802992373522,0.3876629087710892,169.2045,
2023-05-11,49473076.0,173.4903,173.85,173.75,174.59,172.17,501955,AAPL,0.0011235631356054654,0.38922203566003155,170.20350000000002,
2023-05-12,45533138.0,172.3696,173.62,172.57,174.06,171.0,490533,AAPL,-0.0067913669064748605,0.37978731910130437,170.6195,
2023-05-15,37264259.0,172.1109,173.16,172.07,173.21,171.47,444785,AAPL,-0.0028973749782696956,0.3757895578476065,170.8585,
2023-05-16,42110293.0,172.2781,171.99,172.07,173.1383,171.7991,436165,AAPL,0.0,0.3757895578476065,171.10649999999998,
2023-05-17,57934404.0,171.85,171.71,172.69,172.925,170.4201,554940,AAPL,0.003603184750392341,0.3807467818021919,171.5215,
2023-05-18,65496657.0,174.3014,173.0,175.05,175.24,172.58,595692,AAPL,0.013666106896751407,0.39961621491964605,172.2815,
2023-05-19,55525641.0,175.5191,176.39,175.16,176.39,174.94,532731,AAPL,0.0006283918880318762,0.4004957223954595,173.2185,
2023-05-22,43570932.0,174.1828,173.98,174.2,174.71,173.45,526393,AAPL,-0.005480703356930849,0.3928200207883594,173.2885,
2023-05-23,50745163.0,172.1908,173.13,171.56,173.3794,171.275,535091,AAPL,-0.015154994259471755,0.3717118413688345,173.26749999999998,
2023-05-24,43711588.0,171.5088,171.09,171.84,172.4183,170.52,492275,AAPL,0.0016320820704127659,0.3739505876709055,173.09599999999998,
2023-05-25,55889523.0,172.8818,172.41,172.99,173.895,171.69,534909,AAPL,0.006692271880819334,0.38314543855441063,173.01999999999998,
